Tmed_472897F0;Tmed_472976F8;Tmed_4727C11E
15.3;14.7;12.7
15.8;13.6;13.1
13.4;13.7;11.5
12.9;14.3;11.3
12.9;14.6;11.7
14.1;13.5;12.1
13.2;14.9;11.8
13.3;12.4;10.8
15.6;14.3;12.4
14.5;15.0;12.9
14.6;15.6;12.7
16.2;16.1;13.4
14.9;15.6;13.6
14.7;15.3;12.8
14.7;15.2;12.6
14.6;14.1;11.9
14.6;13.9;11.9
14.9;15.2;12.4
13.2;13.1;11.0
14.5;15.0;11.6
13.2;13.6;11.1
14.7;13.8;11.6
14.4;13.9;12.4
15.1;14.7;12.7
13.0;12.2;11.1
12.8;13.8;11.1
14.0;14.3;12.5
15.4;15.0;13.2
14.8;13.7;12.2
14.5;14.5;12.2
13.8;14.3;12.0
15.0;14.9;13.0
13.9;14.8;12.7
14.9;14.8;13.2
13.2;13.5;11.4
13.8;14.1;11.8
13.0;13.0;11.6
13.5;14.5;11.6
14.2;13.3;11.4
13.9;13.7;11.5
14.8;13.5;12.3
13.5;14.3;11.3
14.4;13.4;12.0
13.8;14.0;11.8
14.6;11.3;11.7
13.6;11.2;11.6
13.2;NA;11.5
12.6;12.0;11.0
12.4;13.1;10.8
12.3;12.2;10.5
13.6;13.4;10.9
13.9;13.7;12.3
12.3;13.3;11.0
14.3;13.7;11.7
14.5;13.2;11.9
15.1;14.6;12.8
12.8;12.9;11.4
12.6;13.8;10.9
13.5;13.7;11.3
13.3;12.6;11.0
13.2;14.3;11.2
13.7;14.1;11.8
14.4;14.1;12.2
13.7;13.8;12.1
13.8;14.2;12.0
14.3;13.8;12.2
13.2;14.6;11.6
13.6;14.9;11.9
13.1;13.9;11.0
13.6;14.6;10.5
13.1;14.1;10.8
14.6;13.2;11.8
14.9;12.3;11.7
14.3;11.9;11.0
14.0;14.3;11.9
14.0;15.1;12.2
15.5;16.3;13.4
16.8;16.9;13.8
16.3;16.6;14.0
14.6;15.3;12.9
16.4;14.6;13.3
16.7;17.5;14.2
14.2;14.3;12.1
14.7;14.3;12.3
13.1;14.5;11.7
14.4;14.2;11.5
14.8;15.1;11.8
13.0;13.2;11.0
13.7;14.2;11.6
13.5;14.3;11.7
14.7;13.3;12.4
14.4;14.2;12.3
14.8;14.4;12.8
14.6;13.6;12.1
13.9;12.5;11.7
14.8;13.9;12.2
15.1;14.0;13.3
15.1;15.4;13.1
15.2;13.7;12.8
13.8;14.6;12.1
14.0;13.5;12.4
13.1;13.3;11.0
14.0;13.2;11.7
15.0;13.7;12.3
14.9;13.7;12.9
14.3;13.1;12.3
14.7;13.6;12.4
13.5;14.9;12.3
14.1;13.9;12.1
14.2;14.5;12.6
14.5;13.2;12.7
15.7;13.8;13.2
13.4;12.8;11.4
14.1;13.4;11.2
14.9;12.7;11.6
14.2;13.7;11.5
15.1;12.6;13.0
13.7;12.3;11.2
15.6;14.3;13.1
15.1;12.8;12.0
15.3;12.6;11.9
13.5;12.8;11.9
14.3;12.4;12.5
15.3;12.0;12.3
15.0;13.4;12.5
14.7;13.1;12.4
15.3;13.7;12.6
14.6;12.3;11.6
13.6;12.6;12.1
14.6;14.0;12.5
15.8;13.6;11.6
15.6;12.1;11.3
13.4;12.3;10.4
14.8;13.4;11.7
15.4;13.5;12.0
15.4;12.7;11.6
14.2;13.3;11.6
14.1;13.0;11.1
13.2;13.2;10.2
14.2;12.3;11.2
15.0;12.9;11.8
15.1;12.1;12.7
14.6;11.2;11.4
12.8;11.4;10.6
14.7;14.0;11.9
14.0;11.9;11.0
NA;NA;9.2
15.2;12.1;11.9
15.3;12.2;11.7
15.4;11.8;11.6
15.1;11.7;11.6
15.0;11.9;11.6
14.9;11.9;12.1
15.1;12.8;11.6
14.9;12.0;11.7
14.6;11.7;11.1
14.6;11.7;10.9
14.2;13.1;11.0
11.8;12.3;9.1
13.5;11.0;9.9
13.8;11.0;10.7
14.6;NA;11.0
14.6;NA;10.8
14.6;10.0;10.8
14.2;10.2;10.5
14.3;10.2;11.2
14.7;11.6;11.5
14.3;11.8;11.3
14.8;12.8;11.3
15.5;13.1;11.9
15.0;13.3;12.0
15.8;14.1;13.0
15.4;14.2;12.5
15.5;13.0;12.1
14.7;12.5;11.6
14.3;13.2;10.9
12.5;10.3;10.0
13.3;11.2;10.6
14.7;11.9;11.6
14.6;12.0;11.2
14.3;11.9;10.7
14.9;11.2;11.5
16.1;NA;11.5
14.9;11.5;11.4
14.6;11.0;11.4
13.8;12.6;11.4
13.1;11.5;10.0
12.9;10.7;9.2
13.9;10.9;9.8
12.1;11.3;10.0
14.2;11.7;10.9
15.4;10.7;11.5
15.8;11.2;12.2
16.0;12.3;13.4
15.9;NA;12.9
14.0;10.9;10.8
17.1;NA;14.4
15.0;12.1;12.3
13.6;13.5;11.8
12.2;12.9;10.8
13.6;10.8;10.3
15.0;10.6;11.9
16.8;NA;14.5
12.6;10.2;10.3
14.4;11.6;10.8
14.5;12.0;11.3
14.7;11.1;10.8
14.5;11.9;11.4
14.8;11.6;11.0
15.0;12.0;11.2
15.6;12.5;12.2
13.4;11.2;10.6
14.5;11.5;11.1
15.6;12.0;12.0
15.8;13.0;12.3
15.9;13.4;12.5
16.5;13.1;13.0
16.5;12.2;12.6
16.0;11.0;12.2
16.0;10.7;13.1
16.7;10.8;13.3
15.4;10.5;11.5
14.9;11.1;11.9
15.3;11.9;12.3
15.2;13.5;12.3
14.2;12.7;12.0
15.1;14.1;12.3
15.7;13.7;13.0
14.9;12.5;11.4
15.5;13.6;11.6
14.7;12.1;11.9
14.1;12.3;11.2
15.7;12.8;12.4
16.1;13.0;12.6
15.9;13.7;12.5
14.4;11.4;12.4
NA;NA;13.4
10.9;14.0;9.8
13.9;15.0;11.0
13.6;13.7;10.7
11.8;14.3;10.0
14.9;13.6;11.8
